"scenario","scenario_label","variable","offset_q","quarter","baseline","scenario_value","deviation","unit"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NIBRE",4,"2011Q1",17169.9063009977,16498.984289876,-3.90754614125484,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NIBRE",8,"2012Q1",30150.2708124851,28861.9174313149,-4.27310716106976,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NIBRE",12,"2013Q1",33470.743416826,32307.1863271464,-3.47634074089519,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NIBRE",16,"2014Q1",29776.5324873046,29010.8571568801,-2.57140528619622,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NIBRE",20,"2015Q1",24783.0336849634,24306.0142071601,-1.92478242925017,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",0,"2010Q1",16691.6212849918,16691.6212849918,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",1,"2010Q2",17534.3710040123,17529.48081465,-0.0278891632966793,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",2,"2010Q3",18010.3537815254,18018.9210200813,0.0475684079267902,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",4,"2011Q1",18269.1338808982,18444.8210261318,0.961661052893703,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",8,"2012Q1",17129.8902798762,17692.4073204259,3.28383329582984,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",12,"2013Q1",17726.9676871939,18053.5340559666,1.84220095921206,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",16,"2014Q1",20067.0572617825,20092.9607127203,0.129084452193995,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NID",20,"2015Q1",23118.5983158307,22933.9850199668,-0.798548827839196,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",0,"2010Q1",68528.2595362058,63944.5589012006,-6.68877433343176,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",1,"2010Q2",71823.6315705997,68106.5699087028,-5.17526276604825,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",2,"2010Q3",71162.2983435527,68266.0144350357,-4.0699695989785,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",4,"2011Q1",72627.662854402,70256.4525477395,-3.26488587608297,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",8,"2012Q1",81315.0039835854,80123.2496910735,-1.4656019604359,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",12,"2013Q1",79811.7153910328,79239.4192460441,-0.717057818121958,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",16,"2014Q1",85703.134376739,85250.4311467292,-0.528222489529628,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NM",20,"2015Q1",88425.7009776339,88024.8393977583,-0.453331526291212,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",0,"2010Q1",6.72327317770793,6.71253468066181,-0.0107384970461188,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",1,"2010Q2",7.30791657867041,7.16635806813136,-0.141558510539053,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",2,"2010Q3",7.39241941055777,6.98225780839555,-0.410161602162225,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",4,"2011Q1",7.7910433444405,6.93616638229571,-0.854876962144788,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",8,"2012Q1",7.3613701032787,6.84656539475183,-0.514804708526867,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",12,"2013Q1",6.43481791262911,6.35593658909549,-0.0788813235336177,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",16,"2014Q1",5.92291828032061,5.98996975108932,0.0670514707687104,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NMR",20,"2015Q1",5.754815672054,5.8131876047708,0.0583719327168009,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",0,"2010Q1",5204.48637488981,5204.48637488981,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",1,"2010Q2",5140.09978665398,5140.98944086696,0.0173081117079921,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",2,"2010Q3",4869.72590258727,4902.29115802947,0.668728714790623,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",4,"2011Q1",4656.92424108784,4830.10332449575,3.71874384126669,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",8,"2012Q1",4579.98073370497,4819.4877119024,5.22943200251593,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",12,"2013Q1",4772.90812141224,4905.04509430712,2.76847929047883,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",16,"2014Q1",5853.73975512458,5868.73902812651,0.25623402524515,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NOTC",20,"2015Q1",7293.36742014233,7205.2781907268,-1.20779914600562,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",0,"2010Q1",-344,-344,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",1,"2010Q2",1380,1380,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",2,"2010Q3",-19,-19,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",4,"2011Q1",-1144,-1144,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",8,"2012Q1",704,704,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",12,"2013Q1",-936,-936,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",16,"2014Q1",-1306,-1306,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSD",20,"2015Q1",-1732,-1732,0,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",0,"2010Q1",2.897333,2.897333,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",1,"2010Q2",2.907333,2.907333,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",2,"2010Q3",2.89,2.89,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",4,"2011Q1",3.038,3.038,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",8,"2012Q1",3.110667,3.110667,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",12,"2013Q1",3.436,3.436,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",16,"2014Q1",3.426,3.426,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NSP",20,"2015Q1",3.413667,3.413667,0,"ppt_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",0,"2010Q1",70.3364487525072,77.6495864369641,10.3973655397213,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",1,"2010Q2",69.5155462847767,75.5821701714596,8.72700311068602,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",2,"2010Q3",69.7462379060376,74.8128311009803,7.26432471062939,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",4,"2011Q1",74.7616182386144,78.6171188216556,5.15705876073427,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",8,"2012Q1",77.9173934653219,79.4841400819586,2.01077904041287,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",12,"2013Q1",78.0715215084502,78.6015354328018,0.678882535028102,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",16,"2014Q1",69.0433049252497,69.3205505980404,0.401553304974045,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NTWI",20,"2015Q1",64.683486412093,64.9547576722668,0.419382558394465,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",0,"2010Q1",0.411520275210757,0.411599831052272,0.0193321802852919,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",1,"2010Q2",0.420584888928234,0.422329825119409,0.414883234540842,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",2,"2010Q3",0.42702847653498,0.428283186238192,0.293823426810436,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",4,"2011Q1",0.441613374392505,0.441149303447248,-0.105085346632783,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",8,"2012Q1",0.45112491025091,0.449089798757109,-0.451119290368962,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",12,"2013Q1",0.452101032824149,0.450009570786409,-0.462609435920924,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",16,"2014Q1",0.456218627422859,0.454317842558151,-0.416639030160915,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULC",20,"2015Q1",0.457134385526099,0.455595628686741,-0.336609296539059,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",0,"2010Q1",0.472541715602124,0.472632992131417,0.0193160786189139,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",1,"2010Q2",0.483353580830831,0.485357183237384,0.414521064085016,"pct_deviation"
